row	old_commit	old_parent	old_tree	old_patch	old_timestamp	source_refs	new_commit	new_parent	new_tree	new_patch	new_timestamp	patch_relation	disposition
50	c0f46ab38335218ea441cc01c13ab1c5b2493caa	5ea94d76bc3a0e98f3a50d54ca0b547fcc765799	4c5f34f8874206cb93c1ee8f0a0a3d0a4fe6f2a6	79d8fb4fb7362c9a0c78f835054a5404c80d4786	2026-06-14T12:53:30+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
51	71a4e1982107a535ccf25018cde860608258a176	5995b0774bbb2f3be3286283a3b94b40caec6ea7	15e956bc63b59edfdcd3f6979e2fc141a06d5e0a	e6244476e0137c595e9ab4f3d96be2a300bdfa68	2026-07-11T10:47:16+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
52	bcc38c6121e84d15dd452282130f98f64bef91e1	71a4e1982107a535ccf25018cde860608258a176	1882931af123789310e109a5cfa78914fcbbed50	8300b92933570fc4fbd9842c7a3071126eec084b	2026-07-11T11:02:37+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
53	1ec9e4a1810b50665e42095fe28a71c04a1526b3	bcc38c6121e84d15dd452282130f98f64bef91e1	59a3bf2e4f70293e922e0bd386443c70d1cd2c96	64b1565d2f562bedc8bd61176ea6cb457823426c	2026-07-11T11:44:59+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
54	155f91de0c97d986561f89017e1e6d04ae6f57d8	1ec9e4a1810b50665e42095fe28a71c04a1526b3	73c7a0b6d21e3b53f415ff3fceaa3d5599d8183b	d68db854034ed80569772bb5a59f98d2aadd3820	2026-07-11T13:17:42+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
55	72618744cb135f33bd667729a2e8fd072f06b3ec	35445e796430001a7dd8d68ea0af16d51b12a66a	d0dddae51414d9987aaa65a7819b526295b31630	71c29d6271e00b1961559da3b48239ce9298e83a	2026-07-13T14:46:23+09:00	main,odds-v1,odds-v1.0.1	061991ca9446273e8cb6f1fe0657a71aee242199	291682986602ff0b1de89ac9df670ada635f5a54	ff706516a77283c69caecee19b4200e8ee8bea36	0c8124ffa4af9faa35d76c9e138e5f742497a2c1	2026-04-02T14:46:23+09:00	provenance-cleanup-patch	retained-main-replay
56	59d02704023f75dcf3e8c3616c19d36f678b17e5	72618744cb135f33bd667729a2e8fd072f06b3ec	16fa955f505a14e6e6fada03c557d222e76f8798	9cacb2b33b22b8610393fff425504cc9b258f065	2026-07-13T15:07:31+09:00	main,odds-v1,odds-v1.0.1	f9c1b17e2e86b37a1f6e36a41b1d7c5df99fa2d6	061991ca9446273e8cb6f1fe0657a71aee242199	2a701146cc9f29f8e71968350867967f66de5714	9cacb2b33b22b8610393fff425504cc9b258f065	2026-04-05T15:07:31+09:00	stable-patch-preserved	retained-main-replay
57	0324224fee7eccc063cf023a107d52ccf0d898aa	59d02704023f75dcf3e8c3616c19d36f678b17e5	0fc60b920832ad23934fe35c30a5ecb79ebb02ee	a7ae1ed4defc8dba59e0ee203310458f88c8ae4b	2026-07-13T15:18:46+09:00	main,odds-v1,odds-v1.0.1	55a382ec515a475dfdf2e6d8e85a0bf38b617c8c	f9c1b17e2e86b37a1f6e36a41b1d7c5df99fa2d6	986bcc6f1b2027a1dc67e7e1dfc314fbcd6428cc	2372ae1d76fc01f347117658c1666f58513f90cc	2026-04-09T15:18:46+09:00	provenance-cleanup-patch	retained-main-replay
58	72316d951cc7e289ba2da04ef441ae94474c5009	0324224fee7eccc063cf023a107d52ccf0d898aa	bee02660570ad21dbd03a5e1eac33a8e2618faf6	428c23acc57d102034484674a4c15e34be60062c	2026-07-13T18:27:41+09:00	main,odds-v1,odds-v1.0.1	f6f358d914f429749dec83ef7a266ae7d50778b5	55a382ec515a475dfdf2e6d8e85a0bf38b617c8c	5fc7107b3f5fbb4d0d890e1602d17b9073748e72	428c23acc57d102034484674a4c15e34be60062c	2026-04-12T18:27:41+09:00	stable-patch-preserved	retained-main-replay
59	5a97082ec9c2f4b295960f8791bdbf5fcb71f6f2	72316d951cc7e289ba2da04ef441ae94474c5009	0845db89fb3270bd464791c9776c84a24b6c9c94	0b621698c643197788c6bc077861efe5a338baf7	2026-07-15T17:57:06+09:00	main,odds-v1.0.1	-	-	-	-	-	not-replayed	excluded-learner-navigation-only
